1	[0, 1]	[0, 1]	[2, 4]	[3]	[2, 4]	[5]	
2	[0]	[1, 2, 3]	[1, 2, 3]	[1, 2, 3]	[4]	[5]	
3	[0]	[1, 5]	[2]	[3]	[4]	[1, 5]	
4	[0]	[1]	[2]	[3]	[4]	[5]	
5	[0]	[1]	[2]	[3]	[4]	[5]	
6	[0]	[1]	[2]	[3, 5]	[4]	[3, 5]	
7	[0]	[1]	[2]	[3]	[4]	[5]	
8	[0]	[1]	[2]	[3]	[4]	[5]	
9	[0]	[1]	[2]	[3]	[4]	[5]	
10	[0]	[1]	[2]	[3]	[4]	[5]	
11	[0, 1]	[0, 1]	[2]	[3]	[4]	[5]	
12	[0, 1]	[0, 1]	[2]	[3]	[4]	[5]	
13	[0, 1]	[0, 1]	[2]	[3]	[4]	[5]	
14	[0, 1, 2, 4]	[0, 1, 2, 4]	[0, 1, 2, 4]	[3]	[0, 1, 2, 4]	[5]	
15	[0, 1, 2, 4]	[0, 1, 2, 4]	[0, 1, 2, 4]	[3]	[0, 1, 2, 4]	[5]	
16	[0, 1, 2, 4]	[0, 1, 2, 4]	[0, 1, 2, 4]	[3]	[0, 1, 2, 4]	[5]	
17	[0, 1, 2, 4]	[0, 1, 2, 4]	[0, 1, 2, 4]	[3]	[0, 1, 2, 4]	[5]	
18	[0, 1, 2, 4]	[0, 1, 2, 4]	[0, 1, 2, 4]	[3]	[0, 1, 2, 4]	[5]	
19	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
20	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
21	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
22	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
23	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	[0, 1, 2, 3, 4, 5]	
24	[0]	[1]	[2]	[3, 4, 5]	[3, 4, 5]	[3, 4, 5]	
25	[0]	[1]	[2]	[3, 4, 5]	[3, 4, 5]	[3, 4, 5]	
26	[0, 3, 4, 5]	[1]	[2]	[0, 3, 4, 5]	[0, 3, 4, 5]	[0, 3, 4, 5]	
27	[0]	[1]	[2]	[3, 4, 5]	[3, 4, 5]	[3, 4, 5]	
28	[0]	[1, 2]	[1, 2]	[3, 4, 5]	[3, 4, 5]	[3, 4, 5]	
